,Station Name,latitude,longitude
175,Rajouri Garden metro station,28.649,77.122611
176,Ramakrishna Ashram Marg metro station,28.639306,77.2085
177,Ramesh Nagar metro station,28.653,77.1315
178,Rithala metro station,28.720889,77.107
179,Rohini East metro station,28.707694,77.125889
180,"Rohini Sector 18, 19 metro station",28.738318,77.139875
181,Rohini West metro station,28.715,77.115389
182,Sadar Bazaar Cantonment metro station,28.577222,77.111389
183,Saket metro station,28.520492,77.201535
184,Samaypur Badli metro station,28.745043,77.137673
185,Sant Surdas (Sihi) metro station,28.354673,77.316218
186,Sarai metro station,28.477682,77.305003
187,Sarai Kale Khan - Nizamuddin metro station,28.589356,77.257128
188,Sarita Vihar metro station,28.528588,77.288395
189,Sarojini Nagar metro station,28.575807,77.198571
190,Satguru Ram Singh Marg metro station,28.662048,77.157644
191,Sector 28 metro station,28.438325,77.309096
192,Seelampur metro station,28.669806,77.266694
193,Shadipur metro station,28.651655,77.158249
194,Shahdara metro station,28.6735,77.289889
195,Shaheed Nagar metro station,28.676632,77.333759
196,Shaheed Sthal metro station,28.670621,77.415453
197,Shakurpur metro station,28.685779,77.149626
198,Shalimar Bagh metro station,28.701819,77.165191
199,Shankar Vihar metro station,28.560776,77.140488
200,Shastri Nagar metro station,28.670111,77.181806
201,Shastri Park metro station,28.668194,77.250111
202,Shiv Vihar metro station,28.721612,77.289494
203,Shivaji Park metro station,28.674889,77.130306
204,Shivaji Stadium metro station,28.62877,77.211412
205,Shyam Park metro station,28.678232,77.370902
206,Sikanderpur metro station,28.481389,77.093056
207,Sir Vishweshwaraiah Moti Bagh metro station,28.578504,77.175726
208,South Extension metro station,28.568611,77.220265
209,Subhash Nagar metro station (Delhi),28.640389,77.104889
210,Sukhdev Vihar metro station,28.55977,77.275133
211,Sultanpur metro station,28.499189,77.161389
212,Supreme Court metro station,28.6235,77.2425
213,Tagore Garden metro station,28.643694,77.112889
214,Terminal 1-IGI Airport metro station,28.564722,77.122778
215,Tikri Border metro station,28.688033,76.964051
216,Tikri Kalan metro station,28.686854,76.977336
217,Tilak Nagar metro station,28.636611,77.096389
218,Tis Hazari metro station,28.667194,77.2165
219,Trilokpuri Sanjay Lake metro station,28.613678,77.308849
220,Tughlakabad Station metro station,28.502566,77.299398
221,Udyog Bhawan metro station,28.61106,77.211964
222,Udyog Nagar metro station,28.681,77.080806
223,Uttam Nagar East metro station,28.624786,77.065207
224,Uttam Nagar West metro station,28.621728,77.055698
225,Vaishali metro station,28.649947,77.339711
226,Vasant Vihar metro station,28.557829,77.16099
227,Vidhan Sabha metro station,28.687889,77.221806
228,Vinobapuri metro station,28.565944,77.250502
229,Vishwa Vidyalaya metro station,28.694806,77.214611
230,Welcome metro station,28.672111,77.277889
231,Yamuna Bank metro station,28.623281,77.267931
232,Yashobhoomi Dwarka Sector - 25 metro station,28.552119,77.043469
